%%% Bode Mag Phase 
frequency speed  m1 p1
1.000000000000e-01 0.000000000000e+00 -3.996633281924e+01 -7.228153640239e-01 
1.004620421347e-01 0.000000000000e+00 -3.996602040199e+01 -7.261813744614e-01 
1.009262190987e-01 0.000000000000e+00 -3.996570508016e+01 -7.295633054223e-01 
1.013925407559e-01 0.000000000000e+00 -3.996538682662e+01 -7.329612356374e-01 
1.018610170156e-01 0.000000000000e+00 -3.996506561403e+01 -7.363752442742e-01 
1.023316578330e-01 0.000000000000e+00 -3.996474141476e+01 -7.398054109404e-01 
1.028044732093e-01 0.000000000000e+00 -3.996441420094e+01 -7.432518156865e-01 
1.032794731919e-01 0.000000000000e+00 -3.996408394442e+01 -7.467145390091e-01 
1.037566678745e-01 0.000000000000e+00 -3.996375061680e+01 -7.501936618540e-01 
1.042360673976e-01 0.000000000000e+00 -3.996341418940e+01 -7.536892656197e-01 
1.047176819486e-01 0.000000000000e+00 -3.996307463329e+01 -7.572014321601e-01 
1.052015217616e-01 0.000000000000e+00 -3.996273191924e+01 -7.607302437880e-01 
1.056875971185e-01 0.000000000000e+00 -3.996238601777e+01 -7.642757832785e-01 
1.061759183483e-01 0.000000000000e+00 -3.996203689910e+01 -7.678381338719e-01 
1.066664958280e-01 0.000000000000e+00 -3.996168453320e+01 -7.714173792777e-01 
1.071593399823e-01 0.000000000000e+00 -3.996132888973e+01 -7.750136036772e-01 
1.076544612842e-01 0.000000000000e+00 -3.996096993806e+01 -7.786268917274e-01 
1.081518702552e-01 0.000000000000e+00 -3.996060764731e+01 -7.822573285643e-01 
1.086515774653e-01 0.000000000000e+00 -3.996024198626e+01 -7.859049998065e-01 
1.091535935331e-01 0.000000000000e+00 -3.995987292343e+01 -7.895699915585e-01 
1.096579291268e-01 0.000000000000e+00 -3.995950042703e+01 -7.932523904142e-01 
1.101645949634e-01 0.000000000000e+00 -3.995912446497e+01 -7.969522834607e-01 
1.106736018096e-01 0.000000000000e+00 -3.995874500487e+01 -8.006697582819e-01 
1.111849604819e-01 0.000000000000e+00 -3.995836201403e+01 -8.044049029620e-01 
1.116986818468e-01 0.000000000000e+00 -3.995797545944e+01 -8.081578060890e-01 
1.122147768208e-01 0.000000000000e+00 -3.995758530779e+01 -8.119285567591e-01 
1.127332563710e-01 0.000000000000e+00 -3.995719152546e+01 -8.157172445796e-01 
1.132541315153e-01 0.000000000000e+00 -3.995679407849e+01 -8.195239596734e-01 
1.137774133221e-01 0.000000000000e+00 -3.995639293261e+01 -8.233487926824e-01 
1.143031129114e-01 0.000000000000e+00 -3.995598805325e+01 -8.271918347714e-01 
1.148312414544e-01 0.000000000000e+00 -3.995557940548e+01 -8.310531776325e-01 
1.153618101736e-01 0.000000000000e+00 -3.995516695404e+01 -8.349329134883e-01 
1.158948303440e-01 0.000000000000e+00 -3.995475066338e+01 -8.388311350964e-01 
1.164303132921e-01 0.000000000000e+00 -3.995433049756e+01 -8.427479357534e-01 
1.169682703970e-01 0.000000000000e+00 -3.995390642034e+01 -8.466834092988e-01 
1.175087130905e-01 0.000000000000e+00 -3.995347839511e+01 -8.506376501193e-01 
1.180516528569e-01 0.000000000000e+00 -3.995304638494e+01 -8.546107531525e-01 
1.185971012338e-01 0.000000000000e+00 -3.995261035253e+01 -8.586028138920e-01 
1.191450698120e-01 0.000000000000e+00 -3.995217026023e+01 -8.626139283907e-01 
1.196955702359e-01 0.000000000000e+00 -3.995172607005e+01 -8.666441932657e-01 
1.202486142037e-01 0.000000000000e+00 -3.995127774362e+01 -8.706937057023e-01 
1.208042134677e-01 0.000000000000e+00 -3.995082524222e+01 -8.747625634587e-01 
1.213623798344e-01 0.000000000000e+00 -3.995036852675e+01 -8.788508648700e-01 
1.219231251649e-01 0.000000000000e+00 -3.994990755777e+01 -8.829587088531e-01 
1.224864613751e-01 0.000000000000e+00 -3.994944229544e+01 -8.870861949109e-01 
1.230524004359e-01 0.000000000000e+00 -3.994897269954e+01 -8.912334231373e-01 
1.236209543737e-01 0.000000000000e+00 -3.994849872948e+01 -8.954004942211e-01 
1.241921352702e-01 0.000000000000e+00 -3.994802034429e+01 -8.995875094514e-01 
1.247659552631e-01 0.000000000000e+00 -3.994753750261e+01 -9.037945707220e-01 
1.253424265461e-01 0.000000000000e+00 -3.994705016268e+01 -9.080217805360e-01 
1.259215613694e-01 0.000000000000e+00 -3.994655828234e+01 -9.122692420108e-01 
1.265033720396e-01 0.000000000000e+00 -3.994606181904e+01 -9.165370588832e-01 
1.270878709202e-01 0.000000000000e+00 -3.994556072984e+01 -9.208253355139e-01 
1.276750704319e-01 0.000000000000e+00 -3.994505497137e+01 -9.251341768928e-01 
1.282649830528e-01 0.000000000000e+00 -3.994454449985e+01 -9.294636886436e-01 
1.288576213186e-01 0.000000000000e+00 -3.994402927109e+01 -9.338139770294e-01 
1.294529978228e-01 0.000000000000e+00 -3.994350924050e+01 -9.381851489577e-01 
1.300511252173e-01 0.000000000000e+00 -3.994298436303e+01 -9.425773119854e-01 
1.306520162125e-01 0.000000000000e+00 -3.994245459323e+01 -9.469905743241e-01 
1.312556835772e-01 0.000000000000e+00 -3.994191988520e+01 -9.514250448456e-01 
1.318621401395e-01 0.000000000000e+00 -3.994138019263e+01 -9.558808330870e-01 
1.324713987866e-01 0.000000000000e+00 -3.994083546873e+01 -9.603580492565e-01 
1.330834724654e-01 0.000000000000e+00 -3.994028566631e+01 -9.648568042384e-01 
