%%% Hankel SVD
num speed hsv 
{1} 2.000000000000e+01  Inf
{2} 2.000000000000e+01  Inf
{3} 2.000000000000e+01  Inf
{4} 2.000000000000e+01  Inf
{5} 2.000000000000e+01  Inf
{6} 2.000000000000e+01  Inf
{7} 2.000000000000e+01  Inf
{8} 2.000000000000e+01 1.623131652606e+00
{9} 2.000000000000e+01 1.276688526641e+00
{10} 2.000000000000e+01 8.937171622438e-01
{11} 2.000000000000e+01 6.686408973658e-01
{12} 2.000000000000e+01 1.335899290752e-02
{13} 2.000000000000e+01 1.169281544756e-02
{14} 2.000000000000e+01 1.999061674433e-03
{15} 2.000000000000e+01 8.928341465082e-04
{16} 2.000000000000e+01 3.850285466060e-04
{17} 2.000000000000e+01 1.047557037721e-04
{18} 2.000000000000e+01 1.397441998856e-05
{19} 2.000000000000e+01 1.102622526727e-05
{20} 2.000000000000e+01 5.004338085149e-06
{21} 2.000000000000e+01 4.888010204676e-06
{22} 2.000000000000e+01 2.634508259652e-06
{23} 2.000000000000e+01 8.254971775991e-07
{24} 2.000000000000e+01 1.981784353103e-08
{25} 2.000000000000e+01 2.783769608247e-10
{26} 2.000000000000e+01 9.362657630009e-13
{27} 2.000000000000e+01 5.239304134020e-13
{28} 2.000000000000e+01 3.098598129549e-13
{29} 2.000000000000e+01 4.381089973313e-14
{30} 2.000000000000e+01 3.255286458536e-15
{31} 2.000000000000e+01 5.567512792815e-19
{32} 2.000000000000e+01 6.971334450881e-25
{33} 2.000000000000e+01 0.000000000000e+00
{34} 2.000000000000e+01 0.000000000000e+00
{35} 2.000000000000e+01 0.000000000000e+00
{36} 2.000000000000e+01 0.000000000000e+00
{37} 2.000000000000e+01 0.000000000000e+00

