%%% Bode Mag Phase 
frequency speed  m1 m2 m3 p1 p2 p3
1.000000000000e-01 3.000000000000e+01 -8.329343833978e+01 -5.760056674417e+01 -8.690303961058e+01 -3.181083895145e+00 -1.782803702521e+02 1.767398592186e+02 
1.004618876625e-01 3.000000000000e+01 -8.329347825572e+01 -5.760052854497e+01 -8.690307603926e+01 -3.195777807576e+00 -1.782724141262e+02 1.767248000923e+02 
1.009259087272e-01 3.000000000000e+01 -8.329351854172e+01 -5.760048998804e+01 -8.690311280571e+01 -3.210539601477e+00 -1.782644210673e+02 1.767096713968e+02 
1.013920730479e-01 3.000000000000e+01 -8.329355920120e+01 -5.760045106996e+01 -8.690314991305e+01 -3.225369590551e+00 -1.782563909023e+02 1.766944728105e+02 
1.018603905240e-01 3.000000000000e+01 -8.329360023764e+01 -5.760041178733e+01 -8.690318736447e+01 -3.240268089949e+00 -1.782483234573e+02 1.766792040106e+02 
1.023308711008e-01 3.000000000000e+01 -8.329364165454e+01 -5.760037213669e+01 -8.690322516314e+01 -3.255235416282e+00 -1.782402185574e+02 1.766638646725e+02 
1.028035247694e-01 3.000000000000e+01 -8.329368345543e+01 -5.760033211455e+01 -8.690326331230e+01 -3.270271887628e+00 -1.782320760271e+02 1.766484544703e+02 
1.032783615669e-01 3.000000000000e+01 -8.329372564386e+01 -5.760029171740e+01 -8.690330181519e+01 -3.285377823532e+00 -1.782238956898e+02 1.766329730764e+02 
1.037553915771e-01 3.000000000000e+01 -8.329376822345e+01 -5.760025094167e+01 -8.690334067511e+01 -3.300553545020e+00 -1.782156773682e+02 1.766174201617e+02 
1.042346249300e-01 3.000000000000e+01 -8.329381119783e+01 -5.760020978378e+01 -8.690337989537e+01 -3.315799374601e+00 -1.782074208841e+02 1.766017953959e+02 
1.047160718026e-01 3.000000000000e+01 -8.329385457065e+01 -5.760016824010e+01 -8.690341947932e+01 -3.331115636277e+00 -1.781991260584e+02 1.765860984468e+02 
1.051997424189e-01 3.000000000000e+01 -8.329389834561e+01 -5.760012630698e+01 -8.690345943033e+01 -3.346502655553e+00 -1.781907927113e+02 1.765703289808e+02 
1.056856470501e-01 3.000000000000e+01 -8.329394252646e+01 -5.760008398072e+01 -8.690349975181e+01 -3.361960759435e+00 -1.781824206619e+02 1.765544866627e+02 
1.061737960149e-01 3.000000000000e+01 -8.329398711696e+01 -5.760004125759e+01 -8.690354044721e+01 -3.377490276439e+00 -1.781740097286e+02 1.765385711560e+02 
1.066641996795e-01 3.000000000000e+01 -8.329403212091e+01 -5.759999813382e+01 -8.690358151999e+01 -3.393091536612e+00 -1.781655597289e+02 1.765225821222e+02 
1.071568684582e-01 3.000000000000e+01 -8.329407754215e+01 -5.759995460561e+01 -8.690362297366e+01 -3.408764871516e+00 -1.781570704793e+02 1.765065192216e+02 
1.076518128131e-01 3.000000000000e+01 -8.329412338455e+01 -5.759991066912e+01 -8.690366481176e+01 -3.424510614254e+00 -1.781485417955e+02 1.764903821128e+02 
1.081490432550e-01 3.000000000000e+01 -8.329416965204e+01 -5.759986632048e+01 -8.690370703786e+01 -3.440329099470e+00 -1.781399734922e+02 1.764741704529e+02 
1.086485703429e-01 3.000000000000e+01 -8.329421634855e+01 -5.759982155575e+01 -8.690374965556e+01 -3.456220663353e+00 -1.781313653835e+02 1.764578838972e+02 
1.091504046848e-01 3.000000000000e+01 -8.329426347807e+01 -5.759977637101e+01 -8.690379266851e+01 -3.472185643650e+00 -1.781227172823e+02 1.764415220996e+02 
1.096545569376e-01 3.000000000000e+01 -8.329431104462e+01 -5.759973076224e+01 -8.690383608036e+01 -3.488224379672e+00 -1.781140290007e+02 1.764250847124e+02 
1.101610378075e-01 3.000000000000e+01 -8.329435905226e+01 -5.759968472543e+01 -8.690387989484e+01 -3.504337212293e+00 -1.781053003498e+02 1.764085713861e+02 
1.106698580501e-01 3.000000000000e+01 -8.329440750509e+01 -5.759963825649e+01 -8.690392411567e+01 -3.520524483975e+00 -1.780965311400e+02 1.763919817699e+02 
1.111810284705e-01 3.000000000000e+01 -8.329445640723e+01 -5.759959135132e+01 -8.690396874663e+01 -3.536786538759e+00 -1.780877211806e+02 1.763753155111e+02 
1.116945599241e-01 3.000000000000e+01 -8.329450576287e+01 -5.759954400578e+01 -8.690401379154e+01 -3.553123722273e+00 -1.780788702799e+02 1.763585722555e+02 
1.122104633161e-01 3.000000000000e+01 -8.329455557622e+01 -5.759949621567e+01 -8.690405925424e+01 -3.569536381754e+00 -1.780699782456e+02 1.763417516471e+02 
1.127287496022e-01 3.000000000000e+01 -8.329460585152e+01 -5.759944797675e+01 -8.690410513861e+01 -3.586024866040e+00 -1.780610448841e+02 1.763248533285e+02 
1.132494297887e-01 3.000000000000e+01 -8.329465659306e+01 -5.759939928477e+01 -8.690415144857e+01 -3.602589525586e+00 -1.780520700011e+02 1.763078769405e+02 
1.137725149328e-01 3.000000000000e+01 -8.329470780519e+01 -5.759935013540e+01 -8.690419818807e+01 -3.619230712464e+00 -1.780430534012e+02 1.762908221222e+02 
1.142980161426e-01 3.000000000000e+01 -8.329475949226e+01 -5.759930052428e+01 -8.690424536110e+01 -3.635948780383e+00 -1.780339948881e+02 1.762736885112e+02 
1.148259445776e-01 3.000000000000e+01 -8.329481165870e+01 -5.759925044702e+01 -8.690429297170e+01 -3.652744084681e+00 -1.780248942646e+02 1.762564757433e+02 
1.153563114490e-01 3.000000000000e+01 -8.329486430895e+01 -5.759919989918e+01 -8.690434102392e+01 -3.669616982346e+00 -1.780157513325e+02 1.762391834525e+02 
1.158891280195e-01 3.000000000000e+01 -8.329491744751e+01 -5.759914887627e+01 -8.690438952188e+01 -3.686567832014e+00 -1.780065658927e+02 1.762218112713e+02 
1.164244056040e-01 3.000000000000e+01 -8.329497107892e+01 -5.759909737377e+01 -8.690443846971e+01 -3.703596993985e+00 -1.779973377449e+02 1.762043588304e+02 
1.169621555697e-01 3.000000000000e+01 -8.329502520775e+01 -5.759904538709e+01 -8.690448787160e+01 -3.720704830222e+00 -1.779880666882e+02 1.761868257590e+02 
1.175023893361e-01 3.000000000000e+01 -8.329507983862e+01 -5.759899291162e+01 -8.690453773176e+01 -3.737891704367e+00 -1.779787525204e+02 1.761692116841e+02 
1.180451183756e-01 3.000000000000e+01 -8.329513497621e+01 -5.759893994270e+01 -8.690458805446e+01 -3.755157981745e+00 -1.779693950384e+02 1.761515162316e+02 
1.185903542135e-01 3.000000000000e+01 -8.329519062521e+01 -5.759888647561e+01 -8.690463884399e+01 -3.772504029366e+00 -1.779599940381e+02 1.761337390251e+02 
1.191381084286e-01 3.000000000000e+01 -8.329524679038e+01 -5.759883250561e+01 -8.690469010470e+01 -3.789930215948e+00 -1.779505493146e+02 1.761158796868e+02 
1.196883926528e-01 3.000000000000e+01 -8.329530347652e+01 -5.759877802789e+01 -8.690474184095e+01 -3.807436911906e+00 -1.779410606617e+02 1.760979378371e+02 
1.202412185719e-01 3.000000000000e+01 -8.329536068846e+01 -5.759872303760e+01 -8.690479405718e+01 -3.825024489379e+00 -1.779315278723e+02 1.760799130945e+02 
1.207965979257e-01 3.000000000000e+01 -8.329541843110e+01 -5.759866752984e+01 -8.690484675784e+01 -3.842693322218e+00 -1.779219507384e+02 1.760618050760e+02 
1.213545425083e-01 3.000000000000e+01 -8.329547670936e+01 -5.759861149967e+01 -8.690489994743e+01 -3.860443786014e+00 -1.779123290509e+02 1.760436133964e+02 
1.219150641680e-01 3.000000000000e+01 -8.329553552823e+01 -5.759855494209e+01 -8.690495363051e+01 -3.878276258091e+00 -1.779026625996e+02 1.760253376692e+02 
1.224781748082e-01 3.000000000000e+01 -8.329559489272e+01 -5.759849785207e+01 -8.690500781166e+01 -3.896191117520e+00 -1.778929511734e+02 1.760069775059e+02 
1.230438863869e-01 3.000000000000e+01 -8.329565480791e+01 -5.759844022451e+01 -8.690506249551e+01 -3.914188745130e+00 -1.778831945601e+02 1.759885325160e+02 
1.236122109176e-01 3.000000000000e+01 -8.329571527891e+01 -5.759838205426e+01 -8.690511768673e+01 -3.932269523510e+00 -1.778733925465e+02 1.759700023075e+02 
1.241831604692e-01 3.000000000000e+01 -8.329577631089e+01 -5.759832333614e+01 -8.690517339005e+01 -3.950433837020e+00 -1.778635449182e+02 1.759513864864e+02 
1.247567471663e-01 3.000000000000e+01 -8.329583790907e+01 -5.759826406489e+01 -8.690522961021e+01 -3.968682071800e+00 -1.778536514600e+02 1.759326846571e+02 
1.253329831896e-01 3.000000000000e+01 -8.329590007871e+01 -5.759820423523e+01 -8.690528635204e+01 -3.987014615776e+00 -1.778437119555e+02 1.759138964219e+02 
1.259118807761e-01 3.000000000000e+01 -8.329596282511e+01 -5.759814384180e+01 -8.690534362037e+01 -4.005431858673e+00 -1.778337261872e+02 1.758950213813e+02 
1.264934522190e-01 3.000000000000e+01 -8.329602615365e+01 -5.759808287921e+01 -8.690540142011e+01 -4.023934192020e+00 -1.778236939366e+02 1.758760591342e+02 
1.270777098687e-01 3.000000000000e+01 -8.329609006973e+01 -5.759802134199e+01 -8.690545975620e+01 -4.042522009155e+00 -1.778136149841e+02 1.758570092773e+02 
1.276646661324e-01 3.000000000000e+01 -8.329615457882e+01 -5.759795922464e+01 -8.690551863362e+01 -4.061195705237e+00 -1.778034891091e+02 1.758378714056e+02 
1.282543334746e-01 3.000000000000e+01 -8.329621968642e+01 -5.759789652160e+01 -8.690557805741e+01 -4.079955677260e+00 -1.777933160898e+02 1.758186451124e+02 
1.288467244176e-01 3.000000000000e+01 -8.329628539810e+01 -5.759783322725e+01 -8.690563803265e+01 -4.098802324050e+00 -1.777830957033e+02 1.757993299887e+02 
1.294418515412e-01 3.000000000000e+01 -8.329635171949e+01 -5.759776933591e+01 -8.690569856447e+01 -4.117736046284e+00 -1.777728277257e+02 1.757799256240e+02 
1.300397274836e-01 3.000000000000e+01 -8.329641865624e+01 -5.759770484185e+01 -8.690575965804e+01 -4.136757246493e+00 -1.777625119320e+02 1.757604316058e+02 
1.306403649413e-01 3.000000000000e+01 -8.329648621408e+01 -5.759763973930e+01 -8.690582131860e+01 -4.155866329066e+00 -1.777521480960e+02 1.757408475194e+02 
1.312437766692e-01 3.000000000000e+01 -8.329655439878e+01 -5.759757402240e+01 -8.690588355141e+01 -4.175063700274e+00 -1.777417359904e+02 1.757211729486e+02 
1.318499754814e-01 3.000000000000e+01 -8.329662321617e+01 -5.759750768524e+01 -8.690594636181e+01 -4.194349768262e+00 -1.777312753869e+02 1.757014074750e+02 
1.324589742512e-01 3.000000000000e+01 -8.329669267215e+01 -5.759744072189e+01 -8.690600975515e+01 -4.213724943068e+00 -1.777207660559e+02 1.756815506785e+02 
1.330707859112e-01 3.000000000000e+01 -8.329676277263e+01 -5.759737312630e+01 -8.690607373687e+01 -4.233189636627e+00 -1.777102077667e+02 1.756616021367e+02 
1.336854234537e-01 3.000000000000e+01 -8.329683352363e+01 -5.759730489240e+01 -8.690613831244e+01 -4.252744262784e+00 -1.776996002876e+02 1.756415614255e+02 
1.343028999312e-01 3.000000000000e+01 -8.329690493118e+01 -5.759723601406e+01 -8.690620348738e+01 -4.272389237296e+00 -1.776889433856e+02 1.756214281188e+02 
1.349232284564e-01 3.000000000000e+01 -8.329697700140e+01 -5.759716648506e+01 -8.690626926728e+01 -4.292124977848e+00 -1.776782368267e+02 1.756012017886e+02 
1.355464222025e-01 3.000000000000e+01 -8.329704974045e+01 -5.759709629915e+01 -8.690633565775e+01 -4.311951904062e+00 -1.776674803755e+02 1.755808820047e+02 
1.361724944037e-01 3.000000000000e+01 -8.329712315455e+01 -5.759702545001e+01 -8.690640266449e+01 -4.331870437496e+00 -1.776566737956e+02 1.755604683351e+02 
1.368014583550e-01 3.000000000000e+01 -8.329719724998e+01 -5.759695393123e+01 -8.690647029322e+01 -4.351881001668e+00 -1.776458168496e+02 1.755399603457e+02 
1.374333274133e-01 3.000000000000e+01 -8.329727203307e+01 -5.759688173638e+01 -8.690653854974e+01 -4.371984022052e+00 -1.776349092985e+02 1.755193576004e+02 
1.380681149968e-01 3.000000000000e+01 -8.329734751023e+01 -5.759680885893e+01 -8.690660743989e+01 -4.392179926095e+00 -1.776239509025e+02 1.754986596612e+02 
1.387058345859e-01 3.000000000000e+01 -8.329742368790e+01 -5.759673529230e+01 -8.690667696956e+01 -4.412469143222e+00 -1.776129414204e+02 1.754778660879e+02 
1.393464997230e-01 3.000000000000e+01 -8.329750057262e+01 -5.759666102985e+01 -8.690674714470e+01 -4.432852104849e+00 -1.776018806098e+02 1.754569764383e+02 
1.399901240134e-01 3.000000000000e+01 -8.329757817095e+01 -5.759658606486e+01 -8.690681797134e+01 -4.453329244386e+00 -1.775907682272e+02 1.754359902683e+02 
1.406367211249e-01 3.000000000000e+01 -8.329765648953e+01 -5.759651039056e+01 -8.690688945552e+01 -4.473900997255e+00 -1.775796040279e+02 1.754149071315e+02 
1.412863047888e-01 3.000000000000e+01 -8.329773553507e+01 -5.759643400008e+01 -8.690696160337e+01 -4.494567800893e+00 -1.775683877659e+02 1.753937265797e+02 
1.419388887994e-01 3.000000000000e+01 -8.329781531434e+01 -5.759635688652e+01 -8.690703442107e+01 -4.515330094762e+00 -1.775571191940e+02 1.753724481623e+02 
1.425944870151e-01 3.000000000000e+01 -8.329789583415e+01 -5.759627904288e+01 -8.690710791485e+01 -4.536188320360e+00 -1.775457980638e+02 1.753510714270e+02 
1.432531133580e-01 3.000000000000e+01 -8.329797710140e+01 -5.759620046212e+01 -8.690718209101e+01 -4.557142921230e+00 -1.775344241255e+02 1.753295959190e+02 
1.439147818148e-01 3.000000000000e+01 -8.329805912304e+01 -5.759612113709e+01 -8.690725695590e+01 -4.578194342972e+00 -1.775229971283e+02 1.753080211818e+02 
1.445795064366e-01 3.000000000000e+01 -8.329814190611e+01 -5.759604106062e+01 -8.690733251594e+01 -4.599343033247e+00 -1.775115168200e+02 1.752863467565e+02 
1.452473013393e-01 3.000000000000e+01 -8.329822545767e+01 -5.759596022541e+01 -8.690740877759e+01 -4.620589441788e+00 -1.774999829472e+02 1.752645721821e+02 
