%%% Eigenvalues
num speed real imag realhz imaghz 
{1} 3.000000000000e+01 -3.558965054609e+02 0.000000000000e+00 -5.664268807324e+01 0.000000000000e+00
{2} 3.000000000000e+01 -2.834249777649e+02 0.000000000000e+00 -4.510848620700e+01 0.000000000000e+00
{3} 3.000000000000e+01 -2.705417778836e+01 1.231639903457e+02 -4.305806126304e+00 1.960215787444e+01
{4} 3.000000000000e+01 -2.705417778836e+01 -1.231639903457e+02 -4.305806126304e+00 -1.960215787444e+01
{5} 3.000000000000e+01 -2.466656682237e+01 0.000000000000e+00 -3.925806038887e+00 0.000000000000e+00
{6} 3.000000000000e+01 -1.670529620971e+01 1.024656207399e+01 -2.658730467590e+00 1.630791003773e+00
{7} 3.000000000000e+01 -1.670529620971e+01 -1.024656207399e+01 -2.658730467590e+00 -1.630791003773e+00
{8} 3.000000000000e+01 -1.674408517250e+01 0.000000000000e+00 -2.664903922755e+00 0.000000000000e+00
{9} 3.000000000000e+01 3.626936518548e+00 2.872357753837e+00 5.772448752075e-01 4.571499348514e-01
{10} 3.000000000000e+01 3.626936518548e+00 -2.872357753837e+00 5.772448752075e-01 -4.571499348514e-01
{11} 3.000000000000e+01 7.776392663622e-13 2.475046248987e-07 1.237651331839e-13 3.939158449073e-08
{12} 3.000000000000e+01 7.776392663622e-13 -2.475046248987e-07 1.237651331839e-13 -3.939158449073e-08
{13} 3.000000000000e+01 -3.880449896311e+00 0.000000000000e+00 -6.175927824183e-01 0.000000000000e+00
{14} 3.000000000000e+01 -4.782772611188e+00 0.000000000000e+00 -7.612019027551e-01 0.000000000000e+00
{15} 3.000000000000e+01 -3.754847229544e-13 0.000000000000e+00 -5.976024971368e-14 0.000000000000e+00
{16} 3.000000000000e+01 -2.892327157913e-13 0.000000000000e+00 -4.603281642208e-14 0.000000000000e+00
{17} 3.000000000000e+01 4.070284040133e-14 0.000000000000e+00 6.478058247751e-15 0.000000000000e+00
{18} 3.000000000000e+01 -5.984874660002e-14 0.000000000000e+00 -9.525223859248e-15 0.000000000000e+00

