%%% Natural Frequency
num speed nfreq zeta tau lambda 
{1} 3.000000000000e+01  NaN  NaN 2.929931573149e-03  Inf
{2} 3.000000000000e+01  NaN  NaN 3.520982268914e-03  Inf
{3} 3.000000000000e+01 2.041002377377e+01 2.203285395983e-01 3.539206192957e-02 5.022989689241e-02
{4} 3.000000000000e+01 2.041002377377e+01 2.203285395983e-01 3.539206192957e-02 5.022989689241e-02
{5} 3.000000000000e+01 1.939611451341e+00 1.387257699606e-01 5.914911461818e-01 5.206009538187e-01
{6} 3.000000000000e+01 1.939611451341e+00 1.387257699606e-01 5.914911461818e-01 5.206009538187e-01
{7} 3.000000000000e+01  NaN  NaN 5.108516032546e-02  Inf
{8} 3.000000000000e+01  NaN  NaN 5.802357970709e-02  Inf
{9} 3.000000000000e+01 3.071226902628e+00 7.931820640062e-01 6.533341254908e-02 5.346650594067e-01
{10} 3.000000000000e+01 3.071226902628e+00 7.931820640062e-01 6.533341254908e-02 5.346650594067e-01
{11} 3.000000000000e+01  NaN  NaN -2.681051844093e-01  Inf
{12} 3.000000000000e+01  NaN  NaN 3.811759276204e-01  Inf
{13} 3.000000000000e+01 1.101115762782e-07 1.875564963395e-06 7.706461988596e+11 9.081697254747e+06
{14} 3.000000000000e+01 1.101115762782e-07 1.875564963395e-06 7.706461988596e+11 9.081697254747e+06
{15} 3.000000000000e+01  NaN  NaN -2.557958613578e+11  Inf
{16} 3.000000000000e+01  NaN  NaN 1.454603460376e+12  Inf
{17} 3.000000000000e+01  NaN  NaN -1.009429266594e+12  Inf
{18} 3.000000000000e+01  NaN  NaN 2.649400597850e+12  Inf

