%%% Bode Mag Phase 
frequency speed  m1 m2 p1 p2
1.00000000e-06 3.00000000e+01 -2.95779139e+01 -3.33412859e+01 -1.79999600e+02 -1.79999458e+02 
1.02096066e-06 3.00000000e+01 -2.96248219e+01 -3.38794894e+01 -1.79999617e+02 -1.79999457e+02 
1.04236067e-06 3.00000000e+01 -2.96747125e+01 -3.44915148e+01 -1.79999636e+02 -1.79999455e+02 
1.06420924e-06 3.00000000e+01 -2.97281870e+01 -3.51901661e+01 -1.79999657e+02 -1.79999451e+02 
1.08651577e-06 3.00000000e+01 -2.97854262e+01 -3.60024406e+01 -1.79999682e+02 -1.79999442e+02 
1.10928986e-06 3.00000000e+01 -2.98463780e+01 -3.69657424e+01 -1.79999710e+02 -1.79999427e+02 
1.13254132e-06 3.00000000e+01 -2.99121798e+01 -3.81180693e+01 -1.79999742e+02 -1.79999399e+02 
1.15628013e-06 3.00000000e+01 -2.99828210e+01 -3.95464724e+01 -1.79999777e+02 -1.79999349e+02 
1.18051653e-06 3.00000000e+01 -3.00588532e+01 -4.13944372e+01 -1.79999817e+02 -1.79999255e+02 
1.20526094e-06 3.00000000e+01 -3.01410752e+01 -4.39236439e+01 -1.79999862e+02 -1.79999061e+02 
1.23052400e-06 3.00000000e+01 -3.02300910e+01 -4.78446667e+01 -1.79999913e+02 -1.79998572e+02 
1.25631660e-06 3.00000000e+01 -3.03265494e+01 -5.60861230e+01  Inf -1.79996271e+02 
1.28264983e-06 3.00000000e+01 -3.04316540e+01 -5.91967433e+01 1.79999967e+02 -5.69503957e-03 
1.30953502e-06 3.00000000e+01 -3.05464891e+01 -4.80645531e+01 1.79999896e+02 -1.78882337e-03 
1.33698374e-06 3.00000000e+01 -3.06718969e+01 -4.30332347e+01 1.79999816e+02 -1.19881227e-03 
1.36500781e-06 3.00000000e+01 -3.08095813e+01 -3.96449981e+01 1.79999726e+02 -1.01481230e-03 
1.39361927e-06 3.00000000e+01 -3.09613989e+01 -3.70469022e+01 1.79999625e+02 -9.68430246e-04 
1.42283046e-06 3.00000000e+01 -3.11297976e+01 -3.49026542e+01 1.79999513e+02 -9.90027887e-04 
