%%% Natural Frequency
num speed nfreq zeta tau lambda 
{1} 1.000000000000e+01  NaN  NaN 9.769715010262e-04  Inf
{2} 1.000000000000e+01  NaN  NaN 1.168440216082e-03  Inf
{3} 1.000000000000e+01 2.867434106342e+01 6.639155076376e-01 8.360146195444e-03 4.663550477718e-02
{4} 1.000000000000e+01 2.867434106342e+01 6.639155076376e-01 8.360146195444e-03 4.663550477718e-02
{5} 1.000000000000e+01  NaN  NaN 9.387638540684e-03  Inf
{6} 1.000000000000e+01  NaN  NaN 1.039318442673e-02  Inf
{7} 1.000000000000e+01 1.052396249237e+01 6.374892025658e-01 2.372291248541e-02 1.233306477886e-01
{8} 1.000000000000e+01 1.052396249237e+01 6.374892025658e-01 2.372291248541e-02 1.233306477886e-01
{9} 1.000000000000e+01 5.821013450375e+00 9.290597235248e-02 2.942916201153e-01 1.725376361997e-01
{10} 1.000000000000e+01 5.821013450375e+00 9.290597235248e-02 2.942916201153e-01 1.725376361997e-01
{11} 1.000000000000e+01 3.211723052096e+00 5.970606989584e-01 8.299722226505e-02 3.881337296388e-01
{12} 1.000000000000e+01 3.211723052096e+00 5.970606989584e-01 8.299722226505e-02 3.881337296388e-01
{13} 1.000000000000e+01 2.539141342729e+00 8.025061951700e-01 7.810608345087e-02 6.600821698941e-01
{14} 1.000000000000e+01 2.539141342729e+00 8.025061951700e-01 7.810608345087e-02 6.600821698941e-01
{15} 1.000000000000e+01  NaN  NaN 1.376157001594e-01  Inf
{16} 1.000000000000e+01 1.778710934206e-07 1.338469363041e-06 6.685075585382e+11 5.622048983732e+06
{17} 1.000000000000e+01 1.778710934206e-07 1.338469363041e-06 6.685075585382e+11 5.622048983732e+06
{18} 1.000000000000e+01  NaN  NaN -9.036854532737e-01  Inf
{19} 1.000000000000e+01 4.187795752273e-07 8.672082827464e-08 4.382392002966e+12 2.387891050936e+06
{20} 1.000000000000e+01 4.187795752273e-07 8.672082827464e-08 4.382392002966e+12 2.387891050936e+06
{21} 1.000000000000e+01  NaN  NaN 5.100541706062e+11  Inf
{22} 1.000000000000e+01  NaN  NaN 1.011018666578e+11  Inf

