%%% Eigenvalues
num speed real imag realhz imaghz 
{1} 1.000000000000e+00 -1.023030473817e+04 0.000000000000e+00 -1.628203568416e+03 0.000000000000e+00
{2} 1.000000000000e+00 -8.553275481217e+03 0.000000000000e+00 -1.361296072462e+03 0.000000000000e+00
{3} 1.000000000000e+00 -1.319155190723e+03 0.000000000000e+00 -2.099500693089e+02 0.000000000000e+00
{4} 1.000000000000e+00 -1.023157454326e+03 0.000000000000e+00 -1.628405664173e+02 0.000000000000e+00
{5} 1.000000000000e+00 -1.964185779678e+02 0.000000000000e+00 -3.126098759866e+01 0.000000000000e+00
{6} 1.000000000000e+00 -5.587632629675e+01 3.594425288425e+01 -8.892993531943e+00 5.720705522273e+00
{7} 1.000000000000e+00 -5.587632629675e+01 -3.594425288425e+01 -8.892993531943e+00 -5.720705522273e+00
{8} 1.000000000000e+00 -1.375137169657e+01 3.985241956353e+01 -2.188598779803e+00 6.342709567708e+00
{9} 1.000000000000e+00 -1.375137169657e+01 -3.985241956353e+01 -2.188598779803e+00 -6.342709567708e+00
{10} 1.000000000000e+00 -1.043064072270e+01 1.767489876924e+01 -1.660088030633e+00 2.813047507773e+00
{11} 1.000000000000e+00 -1.043064072270e+01 -1.767489876924e+01 -1.660088030633e+00 -2.813047507773e+00
{12} 1.000000000000e+00 -2.030885144605e+01 0.000000000000e+00 -3.232254096157e+00 0.000000000000e+00
{13} 1.000000000000e+00 -1.334636309620e+00 1.007093606124e+01 -2.124139659059e-01 1.602839255708e+00
{14} 1.000000000000e+00 -1.334636309620e+00 -1.007093606124e+01 -2.124139659059e-01 -1.602839255708e+00
{15} 1.000000000000e+00 3.522520448318e+00 0.000000000000e+00 5.606265414922e-01 0.000000000000e+00
{16} 1.000000000000e+00 -3.604016670884e+00 0.000000000000e+00 -5.735970681568e-01 0.000000000000e+00
{17} 1.000000000000e+00 -1.625344287227e-05 0.000000000000e+00 -2.586815775383e-06 0.000000000000e+00
{18} 1.000000000000e+00 -8.992789757470e-07 0.000000000000e+00 -1.431246942088e-07 0.000000000000e+00
{19} 1.000000000000e+00 1.625344907057e-05 0.000000000000e+00 2.586816761874e-06 0.000000000000e+00
{20} 1.000000000000e+00 8.992783161124e-07 0.000000000000e+00 1.431245892246e-07 0.000000000000e+00
{21} 1.000000000000e+00 -5.963908097434e-12 0.000000000000e+00 -9.491854538524e-13 0.000000000000e+00
{22} 1.000000000000e+00 -7.359254112889e-13 0.000000000000e+00 -1.171261669536e-13 0.000000000000e+00

