%%% Body Data 
num name mass rx ry rz ixx iyy izz ixy iyz ixz 
{1} {f-axle} 1.00000000e+01 7.62000000e-01 0.00000000e+00 1.00000000e-01 1.63333333e+00 0.00000000e+00 1.63333333e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
{2} {lf-axle} 0.00000000e+00 7.62000000e-01 5.50000000e-01 2.28600000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
{3} {rf-axle} 0.00000000e+00 7.62000000e-01 -5.50000000e-01 2.28600000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
{4} {r-axle-t} 5.00000000e+00 -7.62000000e-01 0.00000000e+00 3.28600000e-01 8.16666667e-01 0.00000000e+00 8.16666667e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
{5} {r-axle-b} 5.00000000e+00 -7.62000000e-01 0.00000000e+00 1.28600000e-01 8.16666667e-01 0.00000000e+00 8.16666667e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
{6} {lr-axle} 0.00000000e+00 -7.62000000e-01 5.50000000e-01 2.28600000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
{7} {rr-axle} 0.00000000e+00 -7.62000000e-01 -5.50000000e-01 2.28600000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
{8} {chassis} 3.00000000e+02 0.00000000e+00 0.00000000e+00 3.00000000e-01 5.00000000e+01 1.20000000e+02 1.80000000e+02 0.00000000e+00 0.00000000e+00 0.00000000e+00
{9} {lf-wheel} 1.00000000e+01 7.62000000e-01 6.00000000e-01 2.28600000e-01 5.00000000e-01 1.00000000e+00 5.00000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
{10} {rf-wheel} 1.00000000e+01 7.62000000e-01 -6.00000000e-01 2.28600000e-01 5.00000000e-01 1.00000000e+00 5.00000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
{11} {lr-wheel} 1.00000000e+01 -7.62000000e-01 6.00000000e-01 2.28600000e-01 5.00000000e-01 1.00000000e+00 5.00000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
{12} {rr-wheel} 1.00000000e+01 -7.62000000e-01 -6.00000000e-01 2.28600000e-01 5.00000000e-01 1.00000000e+00 5.00000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
{13} {left-rear-bellcrank} 1.00000000e+00 -6.62000000e-01 2.00000000e-01 2.00000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
{14} {right-rear-bellcrank} 1.00000000e+00 -6.62000000e-01 -2.00000000e-01 2.00000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
{15} {centre-rear-bellcrank} 1.00000000e+00 -5.62000000e-01 0.00000000e+00 1.00000000e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
