%%% Speed, Mode, Body, Rotation centre, Axis of rotation
0.00000000e+00  1  f-axle 8.42970000e-01 + 1.13463000e+00i, -0.00000000e+00 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 7.11800000e-02 + -9.97460000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  1  lf-axle 8.42970000e-01 + 1.13463000e+00i, 5.50000000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 7.11800000e-02 + -9.97460000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  1  rf-axle 8.42970000e-01 + 1.13463000e+00i, -5.50000000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 7.11800000e-02 + -9.97460000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  1  r-axle-t -1.62078900e+01 + 4.70015600e+01i, -1.00000000e-05 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -3.12200000e-01 + -9.50020000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  1  r-axle-b -1.62078900e+01 + 4.70015600e+01i, -1.00000000e-05 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -3.12200000e-01 + -9.50020000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  1  lr-axle -1.62078900e+01 + 4.70015600e+01i, 5.49990000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -3.12200000e-01 + -9.50020000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  1  rr-axle -1.62078900e+01 + 4.70015600e+01i, -5.50010000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -3.12200000e-01 + -9.50020000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  1  chassis 5.50330000e-01 + -9.80000000e-03i, -0.00000000e+00 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  1  lf-wheel 3.54130000e-01 + -5.71514000e+00i, 6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -7.11800000e-02 + 9.97460000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  1  rf-wheel 3.54140000e-01 + -5.71514000e+00i, -6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -7.11800000e-02 + 9.97460000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  1  lr-wheel 7.70393200e+01 + -2.36748100e+02i, 5.99840000e-01 + -2.00000000e-05i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 3.12200000e-01 + 9.50020000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  1  rr-wheel 7.70393700e+01 + -2.36748080e+02i, -6.00160000e-01 + -2.00000000e-05i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 3.12200000e-01 + 9.50020000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  1  left-rear-bellcrank -6.61960000e-01 + 0.00000000e+00i, 2.02270000e-01 + 6.22000000e-03i, 2.00000000e-01 + 0.00000000e+00i, 9.99990000e-01 + 0.00000000e+00i, -1.83000000e-03 + -5.15000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  1  right-rear-bellcrank -6.61960000e-01 + 0.00000000e+00i, -2.02270000e-01 + -6.22000000e-03i, 2.00000000e-01 + 0.00000000e+00i, 9.99990000e-01 + 0.00000000e+00i, 1.83000000e-03 + 5.15000000e-03i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  1  centre-rear-bellcrank -5.59880000e-01 + 5.68000000e-03i, -0.00000000e+00 + 0.00000000e+00i, 1.00320000e-01 + 8.90000000e-04i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 

0.00000000e+00  2  f-axle 8.42970000e-01 + -1.13463000e+00i, -0.00000000e+00 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 7.11800000e-02 + 9.97460000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  2  lf-axle 8.42970000e-01 + -1.13463000e+00i, 5.50000000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 7.11800000e-02 + 9.97460000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  2  rf-axle 8.42970000e-01 + -1.13463000e+00i, -5.50000000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 7.11800000e-02 + 9.97460000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  2  r-axle-t -1.62078900e+01 + -4.70015600e+01i, -1.00000000e-05 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -3.12200000e-01 + 9.50020000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  2  r-axle-b -1.62078900e+01 + -4.70015600e+01i, -1.00000000e-05 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -3.12200000e-01 + 9.50020000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  2  lr-axle -1.62078900e+01 + -4.70015600e+01i, 5.49990000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -3.12200000e-01 + 9.50020000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  2  rr-axle -1.62078900e+01 + -4.70015600e+01i, -5.50010000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -3.12200000e-01 + 9.50020000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  2  chassis 5.50330000e-01 + 9.80000000e-03i, -0.00000000e+00 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  2  lf-wheel 3.54130000e-01 + 5.71514000e+00i, 6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -7.11800000e-02 + -9.97460000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  2  rf-wheel 3.54140000e-01 + 5.71514000e+00i, -6.00000000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -7.11800000e-02 + -9.97460000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  2  lr-wheel 7.70393200e+01 + 2.36748100e+02i, 5.99840000e-01 + 2.00000000e-05i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 3.12200000e-01 + -9.50020000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  2  rr-wheel 7.70393700e+01 + 2.36748080e+02i, -6.00160000e-01 + 2.00000000e-05i, 0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 3.12200000e-01 + -9.50020000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  2  left-rear-bellcrank -6.61960000e-01 + 0.00000000e+00i, 2.02270000e-01 + -6.22000000e-03i, 2.00000000e-01 + 0.00000000e+00i, 9.99990000e-01 + 0.00000000e+00i, -1.83000000e-03 + 5.15000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  2  right-rear-bellcrank -6.61960000e-01 + 0.00000000e+00i, -2.02270000e-01 + 6.22000000e-03i, 2.00000000e-01 + 0.00000000e+00i, 9.99990000e-01 + 0.00000000e+00i, 1.83000000e-03 + -5.15000000e-03i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  2  centre-rear-bellcrank -5.59880000e-01 + -5.68000000e-03i, -0.00000000e+00 + 0.00000000e+00i, 1.00320000e-01 + -8.90000000e-04i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 

0.00000000e+00  3  f-axle 6.98229000e+00 + -4.73023000e+01i, 1.00000000e-05 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.30380000e-01 + 9.91460000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  3  lf-axle 6.98229000e+00 + -4.73023000e+01i, 5.50010000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.30380000e-01 + 9.91460000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  3  rf-axle 6.98229000e+00 + -4.73023000e+01i, -5.49990000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.30380000e-01 + 9.91460000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  3  r-axle-t -4.77270000e-01 + 1.06027000e+00i, -0.00000000e+00 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.59360000e-01 + -9.65780000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  3  r-axle-b -4.77270000e-01 + 1.06027000e+00i, -0.00000000e+00 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.59360000e-01 + -9.65780000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  3  lr-axle -4.77270000e-01 + 1.06027000e+00i, 5.50000000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.59360000e-01 + -9.65780000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  3  rr-axle -4.77270000e-01 + 1.06027000e+00i, -5.50000000e-01 + 0.00000000e+00i, 2.73980000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.59360000e-01 + -9.65780000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
