%%% Eigenvalues
num speed real imag realhz imaghz 
{1} 0.00000000e+00 -4.50970000e+00 8.27779000e+01 -7.17741047e-01 1.31745120e+01
{2} 0.00000000e+00 -4.50970000e+00 -8.27779000e+01 -7.17741047e-01 -1.31745120e+01
{3} 0.00000000e+00 -4.46370000e+00 8.18309000e+01 -7.10419919e-01 1.30237922e+01
{4} 0.00000000e+00 -4.46370000e+00 -8.18309000e+01 -7.10419919e-01 -1.30237922e+01
{5} 0.00000000e+00 -2.27600000e+00 7.13339000e+01 -3.62236650e-01 1.13531428e+01
{6} 0.00000000e+00 -2.27600000e+00 -7.13339000e+01 -3.62236650e-01 -1.13531428e+01
{7} 0.00000000e+00 -2.97820000e+00 7.40372000e+01 -4.73995252e-01 1.17833864e+01
{8} 0.00000000e+00 -2.97820000e+00 -7.40372000e+01 -4.73995252e-01 -1.17833864e+01
{9} 0.00000000e+00 -1.05200000e+00 7.07290000e+00 -1.67431000e-01 1.12568700e+00
{10} 0.00000000e+00 -1.05200000e+00 -7.07290000e+00 -1.67431000e-01 -1.12568700e+00
{11} 0.00000000e+00 -1.01180000e+00 3.78120000e+00 -1.61032971e-01 6.01796671e-01
{12} 0.00000000e+00 -1.01180000e+00 -3.78120000e+00 -1.61032971e-01 -6.01796671e-01
{13} 0.00000000e+00 -1.03010000e+00 5.60010000e+00 -1.63945507e-01 8.91283597e-01
{14} 0.00000000e+00 -1.03010000e+00 -5.60010000e+00 -1.63945507e-01 -8.91283597e-01
{15} 0.00000000e+00 -0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00
{16} 0.00000000e+00 -0.00000000e+00 0.00000000e+00 -0.00000000e+00 0.00000000e+00

