%%% Bode Mag Phase 
frequency speed  m1 m2 m3 m4 p1 p2 p3 p4
1.32174386e-01 0.00000000e+00 -1.23783632e+01 -4.72321249e+00 -3.38816861e+01 -8.26929636e+00 -1.29363365e-01 1.76959185e+02 -7.19042592e+01 -6.22946460e+00 
1.32998530e-01 0.00000000e+00 -1.23309279e+01 -4.07794961e+00 -3.16112290e+01 -7.77770033e+00 3.07943800e+00 1.79575535e+02 -8.09786067e+01 -4.86098857e+00 
1.33827812e-01 0.00000000e+00 -1.18760802e+01 -3.65331813e+00 -3.08763744e+01 -8.27529481e+00 3.44155851e+00 1.78401420e+02 -7.24783695e+01 -3.05355817e+00 
1.34662266e-01 0.00000000e+00 -1.16541162e+01 -2.92843279e+00 -2.98843106e+01 -7.85358048e+00 5.34067756e+00 1.79566050e+02 -7.62739123e+01 -2.18022715e+00 
1.35501922e-01 0.00000000e+00 -1.32525664e+01 -2.78665149e+00 -2.67755447e+01 -7.39161699e+00 1.36001815e+01 -1.79841034e+02 -5.78297473e+01 -2.31589324e+00 
1.36346814e-01 0.00000000e+00 -1.19186417e+01 -3.57112038e+00 -2.94265676e+01 -8.07186210e+00 6.26718913e+00 -1.78666363e+02 -7.66729360e+01 -1.48914582e+00 
1.37196973e-01 0.00000000e+00 -1.23632021e+01 -2.88956910e+00 -2.72124866e+01 -7.42650349e+00 6.95379394e+00 -1.79400082e+02 -7.16087220e+01 -2.61908528e+00 
1.38052434e-01 0.00000000e+00 -1.18606987e+01 -3.07516478e+00 -2.89766178e+01 -7.30399051e+00 5.93654591e+00 1.79616976e+02 -8.46747368e+01 -2.75206575e+00 
1.38913229e-01 0.00000000e+00 -1.16187762e+01 -2.79246991e+00 -2.83589984e+01 -7.61547172e+00 7.21864306e+00 -1.79136098e+02 -7.99088592e+01 -6.60214504e-01 
1.39779391e-01 0.00000000e+00 -1.18377743e+01 -3.19285332e+00 -2.94520085e+01 -7.57166081e+00 5.48666852e+00 1.79569808e+02 -8.03204587e+01 -2.63862614e+00 
1.40650954e-01 0.00000000e+00 -1.16023609e+01 -2.62235518e+00 -2.68350255e+01 -7.31160037e+00 1.03324437e+01 -1.77041982e+02 -8.31507053e+01 4.54159303e-01 
1.41527952e-01 0.00000000e+00 -1.16930550e+01 -3.08236189e+00 -2.76411317e+01 -7.47819878e+00 5.20558618e+00 -1.79237030e+02 -7.91420036e+01 -3.11250558e+00 
1.42410417e-01 0.00000000e+00 -1.18826047e+01 -3.64630947e+00 -2.96740555e+01 -8.38616768e+00 5.72378775e+00 -1.78858215e+02 -7.25131503e+01 -1.60490965e+00 
1.43298386e-01 0.00000000e+00 -1.20713191e+01 -2.92250905e+00 -2.63546862e+01 -7.36151052e+00 9.23166284e+00 1.79808822e+02 -6.61934682e+01 -2.98066632e+00 
1.44191890e-01 0.00000000e+00 -1.18238548e+01 -2.85144913e+00 -2.89590329e+01 -7.62798834e+00 8.30226414e+00 -1.77177396e+02 -7.70133549e+01 -2.38062757e+00 
1.45090966e-01 0.00000000e+00 -1.16168485e+01 -2.93142788e+00 -2.93820755e+01 -7.93134163e+00 5.49989232e+00 1.79570691e+02 -7.49082527e+01 -1.70207183e+00 
1.45995649e-01 0.00000000e+00 -1.18976735e+01 -3.78909347e+00 -3.21245236e+01 -9.13207707e+00 3.61420378e+00 -1.79249434e+02 -5.80905912e+01 -4.79856742e+00 
1.46905972e-01 0.00000000e+00 -1.16905864e+01 -2.85314796e+00 -2.71484506e+01 -7.40635443e+00 9.24396214e+00 -1.78014664e+02 -8.18487074e+01 -1.52390299e-01 
1.47821971e-01 0.00000000e+00 -1.20710839e+01 -2.96840217e+00 -2.62843892e+01 -7.38400182e+00 7.82034817e+00 -1.79781928e+02 -6.76617222e+01 -3.11321884e+00 
1.48743681e-01 0.00000000e+00 -1.20331701e+01 -3.24386424e+00 -2.76653354e+01 -7.29257908e+00 7.90238065e+00 -1.79185173e+02 -8.32281206e+01 -1.93660839e+00 
1.49671139e-01 0.00000000e+00 -1.20232017e+01 -3.38210450e+00 -2.89798974e+01 -7.28711919e+00 4.91464976e+00 1.78690937e+02 -8.48225963e+01 -3.42415417e+00 
1.50604380e-01 0.00000000e+00 -1.21459627e+01 -3.45402938e+00 -2.95042251e+01 -7.56445270e+00 6.55858190e+00 -1.78176003e+02 -7.96100387e+01 -3.85147007e+00 
1.51543439e-01 0.00000000e+00 -1.18232984e+01 -3.24536510e+00 -2.87990100e+01 -8.01650585e+00 7.90440990e+00 -1.77155129e+02 -7.45703663e+01 -1.50884079e+00 
1.52488354e-01 0.00000000e+00 -1.18163600e+01 -3.14683956e+00 -2.95436093e+01 -7.94491367e+00 6.47344637e+00 -1.79061566e+02 -7.27358971e+01 -3.10501371e+00 
1.53439161e-01 0.00000000e+00 -1.17303446e+01 -3.47520147e+00 -3.10211835e+01 -8.68241655e+00 2.67240529e+00 1.76481214e+02 -6.30049685e+01 -4.09274317e+00 
1.54395897e-01 0.00000000e+00 -1.17892483e+01 -2.19736009e+00 -2.67962936e+01 -8.08688535e+00 1.41217053e+01 -1.70610174e+02 -7.10817590e+01 1.93908836e+00 
1.55358598e-01 0.00000000e+00 -1.28537578e+01 -2.84278702e+00 -2.59479333e+01 -7.35697421e+00 9.86935097e+00 -1.79308150e+02 -6.38791807e+01 -2.75747457e+00 
1.56327301e-01 0.00000000e+00 -1.18420290e+01 -2.55639713e+00 -2.73227891e+01 -7.20514590e+00 1.06456775e+01 -1.77032577e+02 -7.84508776e+01 -2.18611654e+00 
1.57302045e-01 0.00000000e+00 -1.16016380e+01 -3.13468686e+00 -2.94937785e+01 -9.33040544e+00 4.84653945e+00 1.79162182e+02 -6.17264313e+01 -2.90248328e-01 
1.58282866e-01 0.00000000e+00 -1.16080182e+01 -3.17963695e+00 -2.69665673e+01 -7.47820098e+00 5.90052643e+00 -1.79089198e+02 -7.60533920e+01 -3.59263181e+00 
1.59269803e-01 0.00000000e+00 -1.20560449e+01 -2.57482343e+00 -2.55622630e+01 -8.34221746e+00 1.83727518e+01 -1.64885426e+02 -7.14232734e+01 4.46343457e+00 
1.60262895e-01 0.00000000e+00 -1.37288311e+01 -2.75042721e+00 -2.59580412e+01 -7.35288176e+00 1.11935040e+01 -1.78882212e+02 -5.97213864e+01 -2.43820852e+00 
1.61262178e-01 0.00000000e+00 -1.14866213e+01 -2.30458432e+00 -2.80162690e+01 -7.56005497e+00 6.50816399e+00 1.79229502e+02 -7.40337293e+01 -8.78703248e-01 
1.62267692e-01 0.00000000e+00 -1.16999403e+01 -2.89670323e+00 -2.74415448e+01 -7.56881832e+00 8.40808825e+00 -1.78426127e+02 -7.73253752e+01 -5.38390554e-01 
1.63279475e-01 0.00000000e+00 -1.18753995e+01 -3.82351885e+00 -3.09457273e+01 -8.22459565e+00 2.23006595e+00 1.76372173e+02 -6.89821599e+01 -4.53703620e+00 
1.64297568e-01 0.00000000e+00 -1.18291971e+01 -3.70394630e+00 -3.06568426e+01 -8.88795288e+00 3.61581528e+00 1.79246180e+02 -6.21766907e+01 -3.41726703e+00 
1.65322008e-01 0.00000000e+00 -1.21271143e+01 -3.51238016e+00 -3.17196109e+01 -7.76846582e+00 3.93829005e+00 -1.79765177e+02 -7.45928505e+01 -7.61106636e+00 
1.66352837e-01 0.00000000e+00 -1.16946801e+01 -3.26660498e+00 -3.01450007e+01 -8.94913569e+00 4.34034934e+00 1.78884075e+02 -6.10757191e+01 -2.85871548e+00 
1.67390092e-01 0.00000000e+00 -1.17551816e+01 -3.67091397e+00 -2.98778849e+01 -8.45295531e+00 3.63167085e+00 1.77672912e+02 -6.89434312e+01 -2.63962844e+00 
1.68433815e-01 0.00000000e+00 -1.17279719e+01 -3.03969146e+00 -2.78172849e+01 -7.58713690e+00 7.35020901e+00 -1.79276063e+02 -7.72877031e+01 -1.10337013e+00 
1.69484047e-01 0.00000000e+00 -1.17108928e+01 -3.06249295e+00 -2.67925242e+01 -7.39017470e+00 6.44601008e+00 -1.79360880e+02 -7.64948751e+01 -3.47578342e+00 
1.70540826e-01 0.00000000e+00 -1.16344544e+01 -2.94469474e+00 -2.90227836e+01 -8.03763192e+00 5.39703586e+00 1.78994669e+02 -6.96803886e+01 -2.14001376e+00 
1.71604195e-01 0.00000000e+00 -1.20297395e+01 -4.15308159e+00 -3.11004053e+01 -7.96847405e+00 7.56384842e-01 1.75155389e+02 -7.30084384e+01 -5.27387311e+00 
1.72674195e-01 0.00000000e+00 -1.23792827e+01 -2.87656415e+00 -2.51296202e+01 -7.26929025e+00 9.74581193e+00 -1.79703022e+02 -6.33058098e+01 -3.23420213e+00 
1.73750866e-01 0.00000000e+00 -1.19508558e+01 -2.76383040e+00 -2.76077035e+01 -8.56354423e+00 1.22048611e+01 -1.70750078e+02 -6.68275459e+01 3.58083125e-01 
1.74834250e-01 0.00000000e+00 -1.15650214e+01 -2.37393070e+00 -2.74748932e+01 -7.49794796e+00 8.35363722e+00 -1.78268498e+02 -7.29903042e+01 -6.88498914e-01 
1.75924390e-01 0.00000000e+00 -1.16781670e+01 -3.00094725e+00 -2.84518815e+01 -9.48249273e+00 7.58662907e+00 -1.76283852e+02 -6.06558165e+01 1.62503798e+00 
1.77021327e-01 0.00000000e+00 -1.16661598e+01 -2.41290289e+00 -2.79053901e+01 -7.93618375e+00 8.54447416e+00 -1.77445068e+02 -6.73799938e+01 -9.08333840e-01 
