%%% Speed, Mode, Body, Rotation centre, Axis of rotation
0.00000000e+00  1  f-axle 8.02880000e-01 + -6.85000000e-03i, -0.00000000e+00 + 0.00000000e+00i, -1.53400000e-02 + 2.24000000e-03i, 9.41100000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 3.34500000e-01 + 4.93700000e-02i, 
0.00000000e+00  1  lf-axle 7.41040000e-01 + -1.55000000e-02i, 1.77780000e-01 + 1.90300000e-02i, 4.68800000e-02 + 4.06000000e-03i, 9.33160000e-01 + 0.00000000e+00i, 1.09070000e-01 + -8.05000000e-03i, -3.29840000e-01 + 9.20100000e-02i, 
0.00000000e+00  1  rf-axle 7.41040000e-01 + -1.55000000e-02i, -1.77780000e-01 + -1.90300000e-02i, 4.68800000e-02 + 4.06000000e-03i, 9.33160000e-01 + 0.00000000e+00i, -1.09070000e-01 + 8.05000000e-03i, -3.29840000e-01 + 9.20100000e-02i, 
0.00000000e+00  1  r-axle-t -7.61130000e-01 + 4.00000000e-05i, 0.00000000e+00 + 0.00000000e+00i, 3.66100000e-01 + 4.77000000e-03i, 9.99740000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -2.29400000e-02 + -1.72000000e-03i, 
0.00000000e+00  1  r-axle-b -7.61660000e-01 + 2.00000000e-05i, 0.00000000e+00 + 0.00000000e+00i, 1.43280000e-01 + 1.87000000e-03i, 9.99740000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -2.29400000e-02 + -1.72000000e-03i, 
0.00000000e+00  1  lr-axle -7.18110000e-01 + 2.27000000e-03i, 5.08696000e+00 + -5.80200000e-01i, 8.79000000e-03 + 0.00000000e+00i, -9.72740000e-01 + -1.23820000e-01i, -0.00000000e+00 + 0.00000000e+00i, -1.95520000e-01 + -1.46900000e-02i, 
0.00000000e+00  1  rr-axle -7.18110000e-01 + 2.27000000e-03i, -5.08696000e+00 + 5.80200000e-01i, 8.79000000e-03 + 0.00000000e+00i, 9.72740000e-01 + 1.23820000e-01i, 0.00000000e+00 + 0.00000000e+00i, 1.95520000e-01 + 1.46900000e-02i, 
0.00000000e+00  1  chassis 1.43200000e-01 + 1.50600000e-02i, 0.00000000e+00 + 0.00000000e+00i, 5.64020000e-01 + 1.27180000e-01i, 8.97510000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -4.15130000e-01 + -1.48780000e-01i, 
0.00000000e+00  1  lf-wheel 4.86610000e-01 + 3.06800000e-02i, 2.99720000e-01 + 1.35600000e-02i, 1.90900000e-02 + 0.00000000e+00i, 7.87510000e-01 + 0.00000000e+00i, -5.33000000e-01 + -1.10580000e-01i, -2.78360000e-01 + 7.76500000e-02i, 
0.00000000e+00  1  rf-wheel 4.86610000e-01 + 3.06800000e-02i, -2.99720000e-01 + -1.35600000e-02i, 1.90900000e-02 + 0.00000000e+00i, 7.87510000e-01 + 0.00000000e+00i, 5.33000000e-01 + 1.10580000e-01i, -2.78360000e-01 + 7.76500000e-02i, 
0.00000000e+00  1  lr-wheel 1.15393000e+00 + -1.42040000e-01i, 4.14748000e+00 + -4.58710000e-01i, 6.95000000e-03 + 0.00000000e+00i, -8.64780000e-01 + -1.11250000e-01i, 4.56250000e-01 + 3.48800000e-02i, -1.73830000e-01 + -1.32900000e-02i, 
0.00000000e+00  1  rr-wheel 1.15393000e+00 + -1.42040000e-01i, -4.14748000e+00 + 4.58710000e-01i, 6.95000000e-03 + 0.00000000e+00i, 8.64780000e-01 + 1.11250000e-01i, 4.56250000e-01 + 3.48800000e-02i, 1.73830000e-01 + 1.32900000e-02i, 

0.00000000e+00  2  f-axle 8.02880000e-01 + 6.85000000e-03i, -0.00000000e+00 + 0.00000000e+00i, -1.53400000e-02 + -2.24000000e-03i, 9.41100000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 3.34500000e-01 + -4.93700000e-02i, 
0.00000000e+00  2  lf-axle 7.41040000e-01 + 1.55000000e-02i, 1.77780000e-01 + -1.90300000e-02i, 4.68800000e-02 + -4.06000000e-03i, 9.33160000e-01 + 0.00000000e+00i, 1.09070000e-01 + 8.05000000e-03i, -3.29840000e-01 + -9.20100000e-02i, 
0.00000000e+00  2  rf-axle 7.41040000e-01 + 1.55000000e-02i, -1.77780000e-01 + 1.90300000e-02i, 4.68800000e-02 + -4.06000000e-03i, 9.33160000e-01 + 0.00000000e+00i, -1.09070000e-01 + -8.05000000e-03i, -3.29840000e-01 + -9.20100000e-02i, 
