%%% Hankel SVD
num speed hsv 
{1} 0.00000000e+00 1.35774417e+00 
{2} 0.00000000e+00 9.24970391e-01 
{3} 0.00000000e+00 2.22611236e-01 
{4} 0.00000000e+00 1.88330991e-01 
{5} 0.00000000e+00 1.76225099e-01 
{6} 0.00000000e+00 1.59435564e-01 
{7} 0.00000000e+00 2.30529016e-02 
{8} 0.00000000e+00 2.19431530e-02 
{9} 0.00000000e+00 1.91787174e-02 
{10} 0.00000000e+00 1.64682579e-02 
{11} 0.00000000e+00 4.79934996e-03 
{12} 0.00000000e+00 4.50000870e-03 
{13} 0.00000000e+00 2.28456056e-06 
{14} 0.00000000e+00 2.27501894e-06 

