%%% Speed, Mode, Body, Rotation centre, Axis of rotation
0.00000000e+00  1  f-axle 7.98330000e-01 + -4.17200000e-02i, 0.00000000e+00 + 0.00000000e+00i, 2.53000000e-03 + 9.71000000e-03i, 8.70730000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 3.58140000e-01 + 3.37000000e-01i, 
0.00000000e+00  1  lf-axle 7.52460000e-01 + -7.83200000e-02i, 1.76760000e-01 + 1.02920000e-01i, 8.28700000e-02 + 2.09100000e-02i, 8.21910000e-01 + 0.00000000e+00i, 9.31000000e-02 + -3.63100000e-02i, -2.45520000e-01 + 5.04190000e-01i, 
0.00000000e+00  1  rf-axle 7.52460000e-01 + -7.83200000e-02i, -1.76760000e-01 + -1.02920000e-01i, 8.28700000e-02 + 2.09100000e-02i, 8.21910000e-01 + 0.00000000e+00i, -9.31000000e-02 + 3.63100000e-02i, -2.45520000e-01 + 5.04190000e-01i, 
0.00000000e+00  1  r-axle-t -7.62270000e-01 + 1.60000000e-04i, 0.00000000e+00 + 0.00000000e+00i, 2.85710000e-01 + 8.01000000e-03i, 9.99970000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -6.79000000e-03 + -2.57000000e-03i, 
0.00000000e+00  1  r-axle-b -7.62110000e-01 + 6.00000000e-05i, 0.00000000e+00 + 0.00000000e+00i, 1.11820000e-01 + 3.13000000e-03i, 9.99970000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -6.79000000e-03 + -2.57000000e-03i, 
0.00000000e+00  1  lr-axle -7.72650000e-01 + 6.48000000e-03i, -3.51135000e+00 + -7.57810000e-01i, 6.80000000e-04 + 0.00000000e+00i, 9.81550000e-01 + -1.83220000e-01i, 0.00000000e+00 + 0.00000000e+00i, -5.10700000e-02 + -1.93400000e-02i, 
0.00000000e+00  1  rr-axle -7.72650000e-01 + 6.48000000e-03i, 3.51135000e+00 + 7.57810000e-01i, 6.80000000e-04 + 0.00000000e+00i, -9.81550000e-01 + 1.83220000e-01i, -0.00000000e+00 + 0.00000000e+00i, 5.10700000e-02 + 1.93400000e-02i, 
0.00000000e+00  1  chassis 2.39600000e-01 + 4.28900000e-02i, 0.00000000e+00 + 0.00000000e+00i, 2.08090000e-01 + 4.02320000e-01i, 8.61340000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.41000000e-02 + -5.07460000e-01i, 
0.00000000e+00  1  lf-wheel 5.96620000e-01 + 1.24110000e-01i, 3.95980000e-01 + 4.96700000e-02i, 3.47000000e-02 + 0.00000000e+00i, -3.47860000e-01 + 4.52790000e-01i, 7.22630000e-01 + 0.00000000e+00i, -1.73850000e-01 + -3.48650000e-01i, 
0.00000000e+00  1  rf-wheel 5.96620000e-01 + 1.24110000e-01i, -3.95980000e-01 + -4.96700000e-02i, 3.47000000e-02 + 0.00000000e+00i, 3.47860000e-01 + -4.52790000e-01i, 7.22630000e-01 + 0.00000000e+00i, 1.73850000e-01 + 3.48650000e-01i, 
0.00000000e+00  1  lr-wheel -2.23170000e-01 + -2.02980000e-01i, -3.42858000e+00 + -7.42550000e-01i, 6.70000000e-04 + 0.00000000e+00i, 9.72020000e-01 + -1.79240000e-01i, 1.32580000e-01 + 5.05300000e-02i, -5.05100000e-02 + -1.92500000e-02i, 
0.00000000e+00  1  rr-wheel -2.23170000e-01 + -2.02980000e-01i, 3.42858000e+00 + 7.42550000e-01i, 6.70000000e-04 + 0.00000000e+00i, -9.72020000e-01 + 1.79240000e-01i, 1.32580000e-01 + 5.05300000e-02i, 5.05100000e-02 + 1.92500000e-02i, 

0.00000000e+00  2  f-axle 7.98330000e-01 + 4.17200000e-02i, 0.00000000e+00 + 0.00000000e+00i, 2.53000000e-03 + -9.71000000e-03i, 8.70730000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 3.58140000e-01 + -3.37000000e-01i, 
0.00000000e+00  2  lf-axle 7.52460000e-01 + 7.83200000e-02i, 1.76760000e-01 + -1.02920000e-01i, 8.28700000e-02 + -2.09100000e-02i, 8.21910000e-01 + 0.00000000e+00i, 9.31000000e-02 + 3.63100000e-02i, -2.45520000e-01 + -5.04190000e-01i, 
0.00000000e+00  2  rf-axle 7.52460000e-01 + 7.83200000e-02i, -1.76760000e-01 + 1.02920000e-01i, 8.28700000e-02 + -2.09100000e-02i, 8.21910000e-01 + 0.00000000e+00i, -9.31000000e-02 + -3.63100000e-02i, -2.45520000e-01 + -5.04190000e-01i, 
0.00000000e+00  2  r-axle-t -7.62270000e-01 + -1.60000000e-04i, 0.00000000e+00 + 0.00000000e+00i, 2.85710000e-01 + -8.01000000e-03i, 9.99970000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -6.79000000e-03 + 2.57000000e-03i, 
0.00000000e+00  2  r-axle-b -7.62110000e-01 + -6.00000000e-05i, 0.00000000e+00 + 0.00000000e+00i, 1.11820000e-01 + -3.13000000e-03i, 9.99970000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -6.79000000e-03 + 2.57000000e-03i, 
0.00000000e+00  2  lr-axle -7.72650000e-01 + -6.48000000e-03i, -3.51135000e+00 + 7.57810000e-01i, 6.80000000e-04 + 0.00000000e+00i, 9.81550000e-01 + 1.83220000e-01i, 0.00000000e+00 + 0.00000000e+00i, -5.10700000e-02 + 1.93400000e-02i, 
0.00000000e+00  2  rr-axle -7.72650000e-01 + -6.48000000e-03i, 3.51135000e+00 + -7.57810000e-01i, 6.80000000e-04 + 0.00000000e+00i, -9.81550000e-01 + -1.83220000e-01i, -0.00000000e+00 + 0.00000000e+00i, 5.10700000e-02 + -1.93400000e-02i, 
0.00000000e+00  2  chassis 2.39600000e-01 + -4.28900000e-02i, 0.00000000e+00 + 0.00000000e+00i, 2.08090000e-01 + -4.02320000e-01i, 8.61340000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.41000000e-02 + 5.07460000e-01i, 
0.00000000e+00  2  lf-wheel 5.96620000e-01 + -1.24110000e-01i, 3.95980000e-01 + -4.96700000e-02i, 3.47000000e-02 + 0.00000000e+00i, -3.47860000e-01 + -4.52790000e-01i, 7.22630000e-01 + 0.00000000e+00i, -1.73850000e-01 + 3.48650000e-01i, 
0.00000000e+00  2  rf-wheel 5.96620000e-01 + -1.24110000e-01i, -3.95980000e-01 + 4.96700000e-02i, 3.47000000e-02 + 0.00000000e+00i, 3.47860000e-01 + 4.52790000e-01i, 7.22630000e-01 + 0.00000000e+00i, 1.73850000e-01 + -3.48650000e-01i, 
0.00000000e+00  2  lr-wheel -2.23170000e-01 + 2.02980000e-01i, -3.42858000e+00 + 7.42550000e-01i, 6.70000000e-04 + 0.00000000e+00i, 9.72020000e-01 + 1.79240000e-01i, 1.32580000e-01 + -5.05300000e-02i, -5.05100000e-02 + 1.92500000e-02i, 
0.00000000e+00  2  rr-wheel -2.23170000e-01 + 2.02980000e-01i, 3.42858000e+00 + -7.42550000e-01i, 6.70000000e-04 + 0.00000000e+00i, -9.72020000e-01 + -1.79240000e-01i, 1.32580000e-01 + -5.05300000e-02i, 5.05100000e-02 + -1.92500000e-02i, 

0.00000000e+00  3  f-axle 6.99682000e+00 + -4.71773100e+01i, 1.00000000e-05 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.31020000e-01 + 9.91380000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  3  lf-axle 6.99682000e+00 + -4.71773100e+01i, 5.50010000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.31020000e-01 + 9.91380000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  3  rf-axle 6.99682000e+00 + -4.71773100e+01i, -5.49990000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.31020000e-01 + 9.91380000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  3  r-axle-t -4.73140000e-01 + 1.07286000e+00i, -0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.59980000e-01 + -9.65610000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  3  r-axle-b -4.73140000e-01 + 1.07286000e+00i, -0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.59980000e-01 + -9.65610000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  3  lr-axle -4.73140000e-01 + 1.07286000e+00i, 5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.59980000e-01 + -9.65610000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  3  rr-axle -4.73140000e-01 + 1.07286000e+00i, -5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.59980000e-01 + -9.65610000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  3  chassis -5.06450000e-01 + -9.08000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  3  lf-wheel -3.01408200e+01 + 2.33833500e+02i, 6.00220000e-01 + 4.00000000e-05i, 0.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -1.31020000e-01 + -9.91380000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  3  rf-wheel -3.01407100e+01 + 2.33833520e+02i, -5.99780000e-01 + 4.00000000e-05i, -0.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -1.31020000e-01 + -9.91380000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  3  lr-wheel -2.19372000e+00 + -5.31763000e+00i, 6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -2.59980000e-01 + 9.65610000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  3  rr-wheel -2.19373000e+00 + -5.31763000e+00i, -6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -2.59980000e-01 + 9.65610000e-01i, -0.00000000e+00 + 0.00000000e+00i, 

0.00000000e+00  4  f-axle 6.99682000e+00 + 4.71773100e+01i, 1.00000000e-05 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.31020000e-01 + -9.91380000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  4  lf-axle 6.99682000e+00 + 4.71773100e+01i, 5.50010000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.31020000e-01 + -9.91380000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  4  rf-axle 6.99682000e+00 + 4.71773100e+01i, -5.49990000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 1.31020000e-01 + -9.91380000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  4  r-axle-t -4.73140000e-01 + -1.07286000e+00i, -0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.59980000e-01 + 9.65610000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  4  r-axle-b -4.73140000e-01 + -1.07286000e+00i, -0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.59980000e-01 + 9.65610000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  4  lr-axle -4.73140000e-01 + -1.07286000e+00i, 5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.59980000e-01 + 9.65610000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  4  rr-axle -4.73140000e-01 + -1.07286000e+00i, -5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.59980000e-01 + 9.65610000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  4  chassis -5.06450000e-01 + 9.08000000e-03i, 0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 1.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  4  lf-wheel -3.01408200e+01 + -2.33833500e+02i, 6.00220000e-01 + -4.00000000e-05i, 0.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -1.31020000e-01 + 9.91380000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  4  rf-wheel -3.01407100e+01 + -2.33833520e+02i, -5.99780000e-01 + -4.00000000e-05i, -0.00000000e+00 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, -1.31020000e-01 + 9.91380000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  4  lr-wheel -2.19372000e+00 + 5.31763000e+00i, 6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -2.59980000e-01 + -9.65610000e-01i, -0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  4  rr-wheel -2.19373000e+00 + 5.31763000e+00i, -6.00000000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -2.59980000e-01 + -9.65610000e-01i, -0.00000000e+00 + 0.00000000e+00i, 

0.00000000e+00  5  f-axle 8.44670000e-01 + 1.13000000e+00i, 0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 7.29600000e-02 + -9.97330000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  5  lf-axle 8.44670000e-01 + 1.13000000e+00i, 5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 7.29600000e-02 + -9.97330000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  5  rf-axle 8.44670000e-01 + 1.13000000e+00i, -5.50000000e-01 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, -0.00000000e+00 + 0.00000000e+00i, 7.29600000e-02 + -9.97330000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
0.00000000e+00  5  r-axle-t -1.59023100e+01 + 4.61474700e+01i, -0.00000000e+00 + 0.00000000e+00i, 2.74720000e-01 + 0.00000000e+00i, 0.00000000e+00 + 0.00000000e+00i, -3.11740000e-01 + -9.50170000e-01i, 0.00000000e+00 + 0.00000000e+00i, 
